Unnamed: 0,BASE_CUSTOMER_ID,CUSTOMER_ID,GENDER_ID,MARITAL_STATUS_ID,BIRTH_DATE,FK_ADDRESS_COMMUNICATION_CITY,OCCUPATION,OCCUPATION_imputed,OCCUPATION_imputed_proba
346567,90216,1758972,0,1,10,3,2,2,0.1092100590467453
243553,22722,1052401,0,1,18,2,12,3,0.3592233657836914
95735,126366,1684221,0,1,14,3,,3,0.12676241993904114
40788,185979,1711259,0,1,9,0,,12,0.13088056445121765
72280,189539,1651208,0,1,9,4,,2,0.11906695365905762
107728,122845,1336071,1,2,17,1,3,3,0.36286434531211853
689523,168222,1507309,0,1,5,1,,2,0.10939263552427292
174180,178538,1646065,1,0,16,5,,7,0.2956832945346832
281592,96233,1308606,0,1,21,2,3,3,0.6132341027259827
665228,103602,1038283,0,1,20,4,9,3,0.49020102620124817
115272,189121,1619584,0,1,19,5,,3,0.40522119402885437
39136,10962,1027110,0,0,16,1,,12,0.22172066569328308
468548,82586,1147926,0,1,8,4,16,2,0.12098412960767746
549149,105829,1318380,0,1,7,3,47,2,0.11437776684761047
51609,125945,1344244,0,1,3,1,,2,0.1094190701842308
66051,153108,1450405,0,2,3,4,,8,0.09803587198257446
38098,179189,1563362,0,1,16,2,,3,0.22994300723075867
282829,87941,1300239,0,1,18,3,5,3,0.34335097670555115
319262,118787,1247925,1,2,6,2,13,12,0.11381345242261887
84252,160136,1773697,0,0,16,1,,12,0.22172066569328308
60092,141717,1674240,0,0,16,0,,12,0.2773950695991516
4936,89731,1302029,0,1,6,0,6,12,0.12524980306625366
284571,71348,1276346,0,1,19,4,3,3,0.404546320438385
102478,130228,1359743,0,1,7,4,5,2,0.12245326489210129
71648,52083,1695404,0,1,9,0,15,12,0.13088056445121765
29357,42158,1560587,0,1,20,4,,3,0.49020102620124817
89278,182709,1584431,0,1,6,5,17,2,0.1560988575220108
426696,137568,1784654,0,1,3,4,8,2,0.12681461870670319
331237,45509,1193507,0,1,7,0,26,12,0.127797931432724
88680,192310,1629073,0,1,18,2,,3,0.3592233657836914
51625,125512,1343573,0,1,18,0,3,3,0.3479776382446289
101858,133558,1736227,0,0,16,2,,12,0.208683580160141
38706,104009,1714282,1,1,11,6,,7,0.1941862255334854
247710,133041,1369965,1,2,10,0,,12,0.13980890810489655
113386,76319,1287957,0,1,12,2,,12,0.10103848576545715
519499,158854,1469898,0,1,11,6,,2,0.17367327213287354
137418,39486,1027617,0,0,16,0,,12,0.2773950695991516
97352,150266,1646826,0,1,20,1,,3,0.5425092577934265
