Unnamed: 0,VEHICLE_ID,BASE_CUSTOMER_ID,GENDER_ID,MARITAL_STATUS_ID,BIRTH_DATE,FK_ADDRESS_COMMUNICATION_CITY,OCCUPATION,FK_RELATION_STATUS_ID,SALESFILE_ID,SF_CREATE_DATE,STATUS,REQ_BRAND_CODE,REQ_TOPMODEL_CODE,TRAFFIC_DATE,BRAND_CODE,BASEMODEL_CODE,MOTOR_GAS_TYPE,GEAR_BOX_TYPE,IS_MAINTENANCE,TOTAL_AMOUNT_TL,TOTAL_AMOUNT_GROUP,CUSTOMER_ID,BIRTH_DATE_imputed
1481,5305656,144540,1,2,14.0,0,14.0,2,5581987.0,6,1,4,5,22.0,1,0.9512487512487372,0.0,1.0,1,721.0,3.0,1414199,14.06315770052504
14186,5112263,60548,0,1,13.0,0,50.0,1,3200599.0,4,3,0,3,10.0,4,0.9176823176822166,1.0,0.0,1,41.0,1.0,1176282,13.00998543744382
18798,5317552,109731,0,1,7.0,0,11.0,2,9765418.0,10,2,0,6,22.0,0,0.9235764235763844,1.0,0.0,1,548.0,2.0,1783943,7.058853524290706
202656,5292751,76711,0,1,11.0,0,15.0,2,3378737.0,4,3,1,1,21.0,2,0.9221778221778196,1.0,1.0,1,450.0,2.0,1490527,10.985378146867241
127138,5261411,142361,0,1,10.0,5,19.0,2,7222887.0,7,3,2,2,19.0,0,0.9230769230769366,0.0,0.0,1,674.0,3.0,1680591,10.03707808967968
221068,5162337,110097,1,1,8.0,2,1.0,2,6421535.0,7,3,4,5,14.0,1,0.9501498501498452,0.0,1.0,1,257.0,1.0,1207638,7.98303006046553
211101,5315363,37649,0,1,15.0,3,17.0,2,7315761.0,7,1,4,5,22.0,1,0.9512487512487532,1.0,1.0,0,1602.0,6.0,1785248,15.001614357198779
201410,5115511,87428,0,1,7.0,0,,1,1401497.0,2,3,1,4,10.0,4,0.9176823176822166,1.0,0.0,1,287.0,1.0,1184056,6.993270887170021
215791,5232762,99775,0,1,7.0,0,16.0,1,3791971.0,4,3,1,1,18.0,4,0.9421578421578328,1.0,0.0,1,211.0,1.0,1170144,7.018746815448996
14333,5276037,181355,0,1,9.0,0,,2,4575055.0,5,2,0,3,20.0,0,0.9807192807192864,0.0,0.0,1,343.0,2.0,1707819,9.0565710994278
254292,5183741,83253,0,1,5.0,0,26.0,2,599628.0,1,1,4,5,16.0,1,0.9501498501498452,0.0,1.0,1,297.0,1.0,1121925,5.018772819031666
92335,5169842,165343,0,1,5.0,0,15.0,2,130770.0,0,1,3,1,15.0,3,0.9113886113886128,0.0,0.0,1,186.0,1.0,1495806,5.034226025453681
172650,5285404,41914,1,1,8.0,4,7.0,1,8431403.0,9,3,4,5,21.0,1,0.951448551448562,1.0,1.0,0,1150.0,4.0,1733493,7.998196611634389
242298,5321142,124438,0,1,8.0,0,,1,903783.0,1,2,1,4,23.0,4,0.9926073926073922,1.0,0.0,1,987.0,4.0,1795948,8.019712008528064
139224,5213571,101842,0,1,9.0,2,17.0,2,6515424.0,7,2,1,9,17.0,4,0.942557442557445,1.0,0.0,0,696.0,3.0,1160948,9.016942916440204
250895,5316285,181632,0,2,20.0,1,7.0,1,6946497.0,7,1,2,2,22.0,0,0.9235764235764224,1.0,0.0,1,3115.0,11.0,1775785,20.08399099632286
50694,5240299,150878,0,2,6.0,5,21.0,1,2787596.0,3,1,4,5,19.0,1,0.95144855144855,1.0,1.0,0,212.0,1.0,1561173,6.009090632067895
