Id,Expected
191,1.0
275,2.0
301,1.0
313,1.0
318,1.0
360,2.0
384,2.0
444,1.0
461,1.0
501,1.0
528,1.0
550,1.0
564,2.0
565,1.0
660,1.0
669,1.0
713,2.0
746,2.0
803,1.0
821,1.0
833,1.0
916,1.0
935,1.0
938,1.0
1013,1.0
1020,1.0
1071,1.0
1100,1.0
1105,1.0
1124,1.0
1132,1.0
1134,1.0
1177,2.0
1187,1.0
1236,1.0
1278,1.0
1308,1.0
1326,1.0
1333,1.0
1416,2.0
1456,1.0
1557,1.0
1600,1.0
1620,1.0
1655,1.0
1825,1.0
1851,1.0
1876,2.0
1993,1.0
1998,1.0
2012,1.0
2033,2.0
2091,1.0
2111,2.0
2123,2.0
2133,1.0
2152,1.0
2192,2.0
2217,1.0
2322,2.0
2325,1.0
2512,2.0
2536,1.0
2563,2.0
2579,2.0
2606,1.0
2632,1.0
2657,1.0
2670,1.0
2726,1.0
2737,1.0
2788,1.0
2813,1.0
2847,1.0
2914,1.0
2917,1.0
2948,2.0
2966,1.0
2994,2.0
2996,1.0
3009,1.0
3016,1.0
3031,1.0
3079,1.0
3094,1.0
3216,1.0
3230,1.0
3332,1.0
3371,1.0
3444,2.0
3463,1.0
3464,1.0
3485,1.0
3494,1.0
3495,1.0
3668,1.0
3669,1.0
3708,1.0
3737,1.0
3783,2.0
3799,1.0
3808,1.0
3810,1.0
3855,1.0
3922,1.0
3953,1.0
3984,1.0
4025,2.0
4035,1.0
4075,1.0
4107,1.0
4123,1.0
4136,2.0
4140,1.0
4188,1.0
4191,2.0
4193,1.0
4249,1.0
4277,1.0
4310,1.0
4391,2.0
4396,1.0
4402,1.0
4411,1.0
4412,1.0
4437,1.0
4506,1.0
4551,2.0
4562,2.0
4712,2.0
4747,1.0
4781,1.0
4835,1.0
4844,1.0
4846,2.0
4918,1.0
4923,1.0
4975,2.0
4976,1.0
4990,1.0
5004,1.0
5040,1.0
5064,2.0
5101,2.0
5132,2.0
5161,2.0
5185,1.0
5201,1.0
5245,2.0
5277,1.0
5299,1.0
5348,1.0
5386,1.0
5428,1.0
5443,2.0
5481,1.0
5517,2.0
5526,1.0
5569,1.0
5609,1.0
5652,1.0
5660,1.0
5687,2.0
5711,1.0
5756,1.0
5787,1.0
5837,1.0
5899,1.0
5908,1.0
5909,2.0
5912,2.0
5961,1.0
5987,1.0
6059,1.0
6074,1.0
6091,2.0
6124,1.0
6135,1.0
6254,1.0
6262,1.0
6305,1.0
6349,1.0
6593,1.0
6640,1.0
6647,1.0
6658,1.0
6667,2.0
6684,1.0
6696,1.0
6704,1.0
6818,1.0
6918,1.0
6957,1.0
6971,1.0
6994,1.0
7051,2.0
7078,1.0
7080,1.0
7284,1.0
7285,1.0
7347,1.0
7408,2.0
7474,1.0
7479,1.0
7500,1.0
7590,1.0
7600,1.0
7654,2.0
7664,1.0
7691,1.0
7698,1.0
7719,1.0
7732,1.0
7752,1.0
7777,1.0
7798,1.0
7799,2.0
7857,1.0
7860,1.0
7911,2.0
7951,2.0
7953,1.0
8016,1.0
8074,1.0
8085,1.0
8151,1.0
8154,1.0
8164,1.0
8176,1.0
8181,1.0
8255,1.0
8289,1.0
8340,1.0
8383,1.0
8393,2.0
8447,2.0
8508,2.0
8557,2.0
8674,1.0
8678,1.0
8714,1.0
8732,1.0
8770,1.0
8784,1.0
8842,1.0
8865,1.0
8876,1.0
8888,1.0
8901,1.0
8911,1.0
8924,1.0
8966,1.0
9035,2.0
9055,2.0
9114,1.0
9131,1.0
9144,1.0
9211,2.0
9240,1.0
9303,2.0
9309,1.0
9315,1.0
9324,1.0
9329,1.0
9361,1.0
9365,1.0
9402,1.0
9403,2.0
9410,1.0
9419,1.0
9470,1.0
9475,1.0
9498,1.0
9507,1.0
9509,1.0
9519,1.0
9544,1.0
9550,1.0
9608,2.0
9657,1.0
9672,1.0
9673,2.0
9693,1.0
9736,1.0
9739,2.0
9741,1.0
9763,1.0
9765,1.0
9775,1.0
9783,1.0
9798,2.0
9800,2.0
9822,2.0
9828,1.0
9841,1.0
9845,1.0
9877,1.0
9895,1.0
9905,1.0
9918,1.0
9921,1.0
9938,2.0
9941,1.0
9963,2.0
9971,1.0
9990,1.0
9997,1.0
10014,1.0
10018,2.0
10019,1.0
10042,1.0
10059,1.0
10093,1.0
10153,1.0
10160,1.0
10190,1.0
10210,1.0
10228,1.0
10245,1.0
10258,1.0
10265,1.0
10277,1.0
10283,1.0
10294,1.0
10295,1.0
10296,1.0
10300,1.0
10340,1.0
10343,1.0
10345,2.0
10347,2.0
10360,1.0
10372,1.0
10379,1.0
10393,1.0
10402,1.0
10415,2.0
10429,1.0
10441,1.0
10462,1.0
10466,2.0
10507,1.0
10515,1.0
10601,1.0
10609,2.0
10616,2.0
10619,1.0
10620,1.0
10623,1.0
10641,2.0
10650,2.0
10660,1.0
10668,1.0
10701,2.0
10702,1.0
10721,1.0
10741,2.0
10750,1.0
10764,1.0
10768,1.0
10774,2.0
10797,1.0
10848,1.0
10898,1.0
10940,1.0
10982,1.0
10997,1.0
11012,1.0
11028,1.0
11035,1.0
11058,2.0
11072,1.0
11094,1.0
11101,1.0
11138,1.0
11156,1.0
11158,1.0
11190,1.0
11222,1.0
11345,1.0
11347,1.0
11357,1.0
11362,1.0
11382,1.0
11389,1.0
11409,1.0
11415,1.0
